x y z
-0.335874 -10.0499 0.188106
-0.32955 -10.0501 0.187859
-0.323226 -10.0504 0.187612
-0.316902 -10.0506 0.187365
-0.310578 -10.0508 0.187118
-0.304254 -10.0511 0.18687
-0.29793 -10.0513 0.186623
-0.291605 -10.0515 0.186375
-0.28528 -10.0517 0.186128
-0.278956 -10.0519 0.18588
-0.272631 -10.0521 0.185632
-0.266306 -10.0523 0.185384
-0.259981 -10.0525 0.185136
-0.253656 -10.0527 0.184888
-0.24733 -10.0529 0.18464
-0.241005 -10.0531 0.184392
-0.234679 -10.0533 0.184144
-0.228354 -10.0535 0.183895
-0.222028 -10.0536 0.183647
-0.215702 -10.0538 0.183398
-0.209376 -10.054 0.18315
-0.20305 -10.0541 0.182901
-0.196724 -10.0543 0.182652
-0.190398 -10.0544 0.182404
-0.184072 -10.0546 0.182155
-0.177746 -10.0547 0.181906
-0.171419 -10.0549 0.181657
-0.165093 -10.055 0.181408
-0.158766 -10.0551 0.181159
-0.15244 -10.0553 0.180909
-0.146113 -10.0554 0.18066
-0.139786 -10.0555 0.180411
-0.13346 -10.0556 0.180161
-0.127133 -10.0557 0.179912
-0.120806 -10.0558 0.179662
-0.114479 -10.0559 0.179412
-0.108152 -10.056 0.179162
-0.101825 -10.0561 0.178913
-0.095498 -10.0562 0.178663
-0.0891709 -10.0563 0.178413
-0.0828438 -10.0564 0.178163
-0.0765166 -10.0564 0.177912
-0.0701894 -10.0565 0.177662
-0.0638622 -10.0566 0.177412
-0.0575349 -10.0566 0.177161
-0.0512076 -10.0567 0.176911
-0.0448803 -10.0567 0.176661
-0.038553 -10.0568 0.17641
-0.0322257 -10.0568 0.176159
-0.0258983 -10.0569 0.175908
-0.0195709 -10.0569 0.175658
-0.0132436 -10.057 0.175407
-0.00691619 -10.057 0.175156
-0.000588804 -10.057 0.174905
0.00573858 -10.057 0.174654
0.012066 -10.057 0.174402
0.0183933 -10.0571 0.174151
0.0247207 -10.0571 0.1739
0.0310481 -10.0571 0.173648
0.0373754 -10.0571 0.173397
0.0437027 -10.0571 0.173145
0.05003 -10.0571 0.172894
0.0563573 -10.057 0.172642
0.0626846 -10.057 0.17239
0.0690118 -10.057 0.172138
0.075339 -10.057 0.171887
0.0816662 -10.0569 0.171635
0.0879934 -10.0569 0.171382
0.0943205 -10.0569 0.17113
0.100648 -10.0568 0.170878
0.106975 -10.0568 0.170626
0.113302 -10.0567 0.170374
0.119628 -10.0567 0.170121
0.125955 -10.0566 0.169869
0.132282 -10.0565 0.169616
0.138609 -10.0565 0.169363
0.144936 -10.0564 0.169111
0.151262 -10.0563 0.168858
0.157589 -10.0562 0.168605
0.163915 -10.0562 0.168352
0.170242 -10.0561 0.168099
0.176568 -10.056 0.167846
0.182895 -10.0559 0.167593
0.189221 -10.0558 0.16734
0.195547 -10.0557 0.167087
0.201873 -10.0556 0.166833
0.208199 -10.0555 0.16658
0.214525 -10.0553 0.166326
0.220851 -10.0552 0.166073
0.227176 -10.0551 0.165819
0.233502 -10.055 0.165565
0.239828 -10.0548 0.165312
0.246153 -10.0547 0.165058
0.252478 -10.0545 0.164804
0.258804 -10.0544 0.16455
0.265129 -10.0542 0.164296
0.271454 -10.0541 0.164042
0.277779 -10.0539 0.163788
0.284103 -10.0537 0.163533
0.290428 -10.0536 0.163279
0.296752 -10.0534 0.163025
0.303077 -10.0532 0.16277
0.309401 -10.053 0.162516
0.315725 -10.0529 0.162261
0.322049 -10.0527 0.162007
0.328373 -10.0525 0.161752
0.334697 -10.0523 0.161497
0.341021 -10.0521 0.161242
0.347344 -10.0519 0.160987
0.353667 -10.0517 0.160732
0.35999 -10.0514 0.160477
0.366313 -10.0512 0.160222
0.372636 -10.051 0.159967
0.378959 -10.0508 0.159712
0.385282 -10.0505 0.159456
0.391604 -10.0503 0.159201
0.397926 -10.0501 0.158946
0.404248 -10.0498 0.15869
0.41057 -10.0496 0.158434
0.416892 -10.0493 0.158179
0.423213 -10.049 0.157923
0.429535 -10.0488 0.157667
0.435856 -10.0485 0.157411
0.442177 -10.0482 0.157155
0.448498 -10.048 0.156899
0.454818 -10.0477 0.156643
0.461139 -10.0474 0.156387
0.467459 -10.0471 0.156131
0.473779 -10.0468 0.155875
0.480099 -10.0465 0.155619
0.486418 -10.0462 0.155362
0.492738 -10.0459 0.155106
0.499057 -10.0456 0.154849
0.505376 -10.0453 0.154593
0.511695 -10.045 0.154336
0.518014 -10.0447 0.154079
0.524332 -10.0443 0.153823
0.53065 -10.044 0.153566
0.536968 -10.0437 0.153309
0.543286 -10.0433 0.153052
0.549603 -10.043 0.152795
0.55592 -10.0427 0.152538
0.562237 -10.0423 0.152281
0.568554 -10.042 0.152023
0.574871 -10.0416 0.151766
0.581187 -10.0412 0.151509
0.587503 -10.0409 0.151251
0.593819 -10.0405 0.150994
0.600134 -10.0401 0.150736
0.60645 -10.0397 0.150479
0.612765 -10.0394 0.150221
0.61908 -10.039 0.149963
0.625394 -10.0386 0.149706
0.631708 -10.0382 0.149448
0.638022 -10.0378 0.14919
0.644336 -10.0374 0.148932
0.65065 -10.037 0.148674
0.656963 -10.0365 0.148416
0.663276 -10.0361 0.148158
0.669588 -10.0357 0.147899
0.675901 -10.0353 0.147641
0.682213 -10.0348 0.147383
0.688525 -10.0344 0.147124
0.694836 -10.034 0.146866
0.701147 -10.0335 0.146607
0.707458 -10.0331 0.146349
0.713769 -10.0326 0.14609
0.720079 -10.0322 0.145831
0.726389 -10.0317 0.145572
0.732699 -10.0313 0.145314
0.739008 -10.0308 0.145055
0.745318 -10.0303 0.144796
0.751626 -10.0298 0.144537
0.757935 -10.0294 0.144278
0.764243 -10.0289 0.144019
0.770551 -10.0284 0.143759
0.776858 -10.0279 0.1435
0.783166 -10.0274 0.143241
0.789472 -10.0269 0.142981
0.795779 -10.0264 0.142722
0.802085 -10.0259 0.142462
0.808391 -10.0254 0.142203
0.814697 -10.0248 0.141943
0.821002 -10.0243 0.141684
0.827307 -10.0238 0.141424
0.833611 -10.0233 0.141164
0.839915 -10.0227 0.140904
0.846219 -10.0222 0.140644
0.852522 -10.0216 0.140384
0.858825 -10.0211 0.140124
0.865128 -10.0205 0.139864
0.871431 -10.02 0.139604
0.877732 -10.0194 0.139344
0.884034 -10.0188 0.139083
0.890335 -10.0183 0.138823
0.896636 -10.0177 0.138563
0.902937 -10.0171 0.138302
0.909237 -10.0165 0.138042
0.915537 -10.016 0.137781
0.921836 -10.0154 0.137521
0.928135 -10.0148 0.13726
0.934433 -10.0142 0.136999
0.940732 -10.0136 0.136738
0.947029 -10.013 0.136478
0.953327 -10.0124 0.136217
0.959624 -10.0117 0.135956
0.96592 -10.0111 0.135695
0.972217 -10.0105 0.135434
0.978512 -10.0099 0.135172
0.984808 -10.0092 0.134911
0.991103 -10.0086 0.13465
0.997397 -10.008 0.134389
1.00369 -10.0073 0.134127
1.00999 -10.0067 0.133866
1.01628 -10.006 0.133604
1.02257 -10.0054 0.133343
1.02886 -10.0047 0.133081
1.03516 -10.004 0.13282
1.04145 -10.0034 0.132558
1.04774 -10.0027 0.132296
1.05403 -10.002 0.132034
1.06032 -10.0013 0.131773
1.06661 -10.0006 0.131511
1.0729 -9.99995 0.131249
1.07919 -9.99925 0.130987
1.08548 -9.99855 0.130725
1.09176 -9.99785 0.130462
1.09805 -9.99714 0.1302
1.10434 -9.99643 0.129938
1.11062 -9.99571 0.129676
1.11691 -9.99499 0.129413
1.1232 -9.99427 0.129151
1.12948 -9.99354 0.128888
1.13577 -9.99281 0.128626
1.14205 -9.99207 0.128363
1.14833 -9.99133 0.128101
1.15462 -9.99058 0.127838
1.1609 -9.98983 0.127575
1.16718 -9.98908 0.127312
1.17346 -9.98832 0.12705
1.17975 -9.98756 0.126787
1.18603 -9.98679 0.126524
1.19231 -9.98602 0.126261
1.19859 -9.98525 0.125998
1.20487 -9.98447 0.125735
1.21115 -9.98368 0.125471
1.21742 -9.9829 0.125208
1.2237 -9.9821 0.124945
1.22998 -9.98131 0.124682
1.23626 -9.98051 0.124418
1.24253 -9.9797 0.124155
1.24881 -9.9789 0.123891
1.25508 -9.97808 0.123628
1.26136 -9.97727 0.123364
1.26763 -9.97645 0.123101
1.27391 -9.97562 0.122837
1.28018 -9.97479 0.122573
1.28645 -9.97396 0.122309
1.29272 -9.97312 0.122046
1.29899 -9.97228 0.121782
1.30527 -9.97143 0.121518
1.31154 -9.97058 0.121254
1.31781 -9.96973 0.12099
1.32408 -9.96887 0.120726
1.33034 -9.96801 0.120462
1.33661 -9.96714 0.120197
1.34288 -9.96627 0.119933
1.34915 -9.9654 0.119669
1.35541 -9.96452 0.119404
1.36168 -9.96363 0.11914
1.36794 -9.96274 0.118876
1.37421 -9.96185 0.118611
1.38047 -9.96096 0.118347
1.38674 -9.96006 0.118082
1.393 -9.95915 0.117817
1.39926 -9.95824 0.117553
1.40552 -9.95733 0.117288
1.41179 -9.95641 0.117023
1.41805 -9.95549 0.116758
1.42431 -9.95457 0.116493
1.43057 -9.95364 0.116228
1.43682 -9.9527 0.115964
1.44308 -9.95177 0.115698
1.44934 -9.95082 0.115433
1.4556 -9.94988 0.115168
1.46185 -9.94893 0.114903
1.46811 -9.94797 0.114638
1.47437 -9.94701 0.114373
1.48062 -9.94605 0.114107
1.48687 -9.94508 0.113842
1.49313 -9.94411 0.113576
1.49938 -9.94314 0.113311
1.50563 -9.94216 0.113045
1.51188 -9.94117 0.11278
1.51813 -9.94018 0.112514
1.52438 -9.93919 0.112249
1.53063 -9.9382 0.111983
1.53688 -9.9372 0.111717
1.54313 -9.93619 0.111451
1.54938 -9.93518 0.111186
1.55563 -9.93417 0.11092
1.56187 -9.93315 0.110654
1.56812 -9.93213 0.110388
1.57436 -9.93111 0.110122
1.58061 -9.93008 0.109856
1.58685 -9.92904 0.10959
1.59309 -9.928 0.109323
1.59934 -9.92696 0.109057
1.60558 -9.92592 0.108791
1.61182 -9.92486 0.108525
1.61806 -9.92381 0.108258
1.6243 -9.92275 0.107992
1.63054 -9.92169 0.107725
1.63678 -9.92062 0.107459
1.64301 -9.91955 0.107192
1.64925 -9.91847 0.106926
1.65549 -9.91739 0.106659
1.66172 -9.91631 0.106393
1.66796 -9.91522 0.106126
1.67419 -9.91413 0.105859
1.68043 -9.91303 0.105592
1.68666 -9.91193 0.105325
1.69289 -9.91083 0.105059
1.69912 -9.90972 0.104792
1.70535 -9.90861 0.104525
1.71158 -9.90749 0.104258
1.71781 -9.90637 0.103991
1.72404 -9.90524 0.103723
1.73027 -9.90411 0.103456
1.73649 -9.90298 0.103189
1.74272 -9.90184 0.102922
1.74895 -9.9007 0.102655
1.75517 -9.89955 0.102387
1.76139 -9.8984 0.10212
1.76762 -9.89725 0.101852
1.77384 -9.89609 0.101585
1.78006 -9.89493 0.101317
1.78628 -9.89376 0.10105
1.7925 -9.89259 0.100782
1.79872 -9.89141 0.100515
1.80494 -9.89024 0.100247
1.81116 -9.88905 0.0999794
1.81738 -9.88786 0.0997116
1.82359 -9.88667 0.0994438
1.82981 -9.88548 0.099176
1.83602 -9.88428 0.0989081
1.84224 -9.88307 0.0986402
1.84845 -9.88186 0.0983722
1.85467 -9.88065 0.0981042
1.86088 -9.87943 0.0978362
1.86709 -9.87821 0.0975681
1.8733 -9.87699 0.0973
1.87951 -9.87576 0.0970318
1.88572 -9.87452 0.0967636
1.89192 -9.87329 0.0964954
1.89813 -9.87205 0.0962271
1.90434 -9.8708 0.0959588
1.91054 -9.86955 0.0956904
1.91675 -9.8683 0.095422
1.92295 -9.86704 0.0951535
1.92916 -9.86577 0.0948851
1.93536 -9.86451 0.0946165
1.94156 -9.86324 0.094348
1.94776 -9.86196 0.0940794
1.95396 -9.86068 0.0938107
1.96016 -9.8594 0.093542
1.96636 -9.85811 0.0932733
1.97256 -9.85682 0.0930045
1.97875 -9.85553 0.0927357
1.98495 -9.85423 0.0924669
1.99114 -9.85292 0.092198
1.99734 -9.85161 0.0919291
2.00353 -9.8503 0.0916601
2.00972 -9.84899 0.0913912
2.01591 -9.84767 0.0911221
2.0221 -9.84634 0.090853
2.02829 -9.84501 0.0905839
2.03448 -9.84368 0.0903148
2.04067 -9.84234 0.0900456
2.04686 -9.841 0.0897764
2.05305 -9.83966 0.0895071
2.05923 -9.83831 0.0892378
2.06542 -9.83695 0.0889685
2.0716 -9.8356 0.0886991
2.07778 -9.83423 0.0884297
2.08396 -9.83287 0.0881602
2.09015 -9.8315 0.0878908
2.09633 -9.83013 0.0876212
2.10251 -9.82875 0.0873517
2.10868 -9.82736 0.0870821
2.11486 -9.82598 0.0868124
2.12104 -9.82459 0.0865428
2.12722 -9.82319 0.0862731
2.13339 -9.82179 0.0860033
2.13956 -9.82039 0.0857336
2.14574 -9.81898 0.0854637
2.15191 -9.81757 0.0851939
2.15808 -9.81616 0.084924
2.16425 -9.81474 0.0846541
2.17042 -9.81331 0.0843841
2.17659 -9.81189 0.0841141
2.18276 -9.81045 0.0838441
2.18892 -9.80902 0.083574
2.19509 -9.80758 0.0833039
2.20126 -9.80613 0.0830338
2.20742 -9.80468 0.0827636
2.21358 -9.80323 0.0824934
2.21975 -9.80178 0.0822232
2.22591 -9.80032 0.0819529
2.23207 -9.79885 0.0816826
2.23823 -9.79738 0.0814123
2.24439 -9.79591 0.0811419
2.25054 -9.79443 0.0808715
2.2567 -9.79295 0.080601
2.26285 -9.79146 0.0803306
2.26901 -9.78997 0.0800601
2.27516 -9.78848 0.0797895
2.28132 -9.78698 0.0795189
2.28747 -9.78548 0.0792483
2.29362 -9.78397 0.0789777
2.29977 -9.78246 0.078707
2.30592 -9.78095 0.0784363
2.31207 -9.77943 0.0781655
2.31821 -9.77791 0.0778948
2.32436 -9.77638 0.077624
2.3305 -9.77485 0.0773531
2.33665 -9.77332 0.0770822
2.34279 -9.77178 0.0768113
2.34893 -9.77024 0.0765404
2.35507 -9.76869 0.0762694
2.36121 -9.76714 0.0759984
2.36735 -9.76558 0.0757274
2.37349 -9.76402 0.0754563
2.37963 -9.76246 0.0751852
2.38576 -9.76089 0.0749141
2.3919 -9.75932 0.0746429
2.39803 -9.75774 0.0743717
2.40417 -9.75616 0.0741005
2.4103 -9.75458 0.0738292
2.41643 -9.75299 0.073558
2.42256 -9.7514 0.0732866
2.42869 -9.7498 0.0730153
2.43482 -9.7482 0.0727439
2.44094 -9.7466 0.0724725
2.44707 -9.74499 0.0722011
2.4532 -9.74338 0.0719296
2.45932 -9.74176 0.0716581
2.46544 -9.74014 0.0713865
2.47156 -9.73851 0.071115
2.47769 -9.73688 0.0708434
2.48381 -9.73525 0.0705718
2.48992 -9.73361 0.0703001
2.49604 -9.73197 0.0700284
2.50216 -9.73033 0.0697567
2.50827 -9.72868 0.069485
2.51439 -9.72702 0.0692132
2.5205 -9.72536 0.0689414
2.52661 -9.7237 0.0686696
2.53273 -9.72204 0.0683977
2.53884 -9.72037 0.0681259
2.54494 -9.71869 0.0678539
2.55105 -9.71701 0.067582
2.55716 -9.71533 0.06731
2.56327 -9.71364 0.067038
2.56937 -9.71195 0.066766
2.57547 -9.71026 0.0664939
2.58158 -9.70856 0.0662219
2.58768 -9.70686 0.0659498
2.59378 -9.70515 0.0656776
2.59988 -9.70344 0.0654054
2.60598 -9.70172 0.0651333
2.61207 -9.70001 0.064861
2.61817 -9.69828 0.0645888
2.62427 -9.69656 0.0643165
2.63036 -9.69482 0.0640442
2.63645 -9.69309 0.0637719
2.64254 -9.69135 0.0634995
2.64864 -9.6896 0.0632271
2.65473 -9.68786 0.0629547
2.66081 -9.68611 0.0626823
2.6669 -9.68435 0.0624098
2.67299 -9.68259 0.0621373
2.67907 -9.68083 0.0618648
2.68516 -9.67906 0.0615923
2.69124 -9.67728 0.0613197
2.69732 -9.67551 0.0610471
2.7034 -9.67373 0.0607745
2.70948 -9.67194 0.0605019
2.71556 -9.67016 0.0602292
2.72164 -9.66836 0.0599565
2.72771 -9.66657 0.0596838
2.73379 -9.66477 0.059411
2.73986 -9.66296 0.0591383
2.74593 -9.66115 0.0588655
2.752 -9.65934 0.0585926
2.75807 -9.65752 0.0583198
2.76414 -9.6557 0.0580469
2.77021 -9.65388 0.057774
2.77628 -9.65205 0.0575011
2.78234 -9.65021 0.0572282
2.78841 -9.64838 0.0569552
2.79447 -9.64653 0.0566822
2.80053 -9.64469 0.0564092
2.80659 -9.64284 0.0561362
2.81265 -9.64099 0.0558631
2.81871 -9.63913 0.05559
2.82477 -9.63727 0.0553169
